"callsign","firstTransmissionDate","flag","geartype","id","imo","lastTransmissionDate","mmsi","msgCount","posCount","shipname","source","vesselType","years","dataset","score"
NA,"2013-06-18T15:54:30Z","ESP","drifting_longlines","03cc9bfad-d7e7-9122-9fd2-d354ef80221b",NA,"2022-06-07T08:08:29.94Z",224208290,902,160,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",95.701996
"EA7757","2013-06-19T19:07:14Z","ESP","drifting_longlines","c2b0d9d5d-d1a8-6fec-0b13-b362c88cdbe2",0,"2023-11-26T23:59:41Z",224208290,4173391,332084,"NICOLAS Y ANA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-02-20T16:32:23Z","ESP","drifting_longlines","47c89d2ba-a73f-088d-0cd2-003647e6f852",NA,"2023-04-28T10:16:02Z",224031340,1733,347,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"EA5637","2013-04-11T07:31:20Z","ESP","drifting_longlines","6bde0249d-d49c-84a1-65c5-dcfdf4241841",0,"2023-11-26T23:59:02Z",224031340,3175910,269233,"ANTONIO Y ANGELITA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"EA4124","2012-11-28T16:53:37Z","ESP","drifting_longlines","fe090a354-4df8-99b5-75b1-2c92825a8eb7",0,"2023-09-15T06:55:40Z",224120840,7441566,250157,"ENRIQUE EL GATO","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",99.78859
"EA3951","2013-02-13T10:39:19Z","ESP","drifting_longlines","eb635e44c-c98d-9b58-1fba-572c777adff3",0,"2023-11-26T23:59:20Z",224082260,35276256,701683,"SIEMPRE KALIMA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-05-27T19:15:43Z","ESP","drifting_longlines","5a33124ef-fb68-a515-5900-677c0a5701f5",NA,"2023-07-14T07:51:08Z",224082260,2998,493,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2013-11-07T10:39:18Z","ITA","drifting_longlines","fcf0122f1-117a-5cc1-f0cf-1774384f19dd",NA,"2021-02-18T09:28:51Z",247305860,732,95,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021)","public-global-fishing-vessels:v20201001",90.999695
"IIQB2","2013-05-27T09:23:11Z","ITA","drifting_longlines","abb4ec1a5-5a60-61e9-d551-cc1045eb2c16",27710,"2014-07-31T20:19:38Z",247305860,65740,4548,"MN JONATHAN","AIS","Fishing","list(2013, 2014)","public-global-fishing-vessels:v20201001",90.999695
"IIQB2","2015-06-19T09:40:16Z","ITA","drifting_longlines","3c590c665-5422-1a2f-00de-260adab8495a",0,"2023-11-26T23:57:50Z",247305860,10090915,402337,"JONATHAN","AIS","Fishing","list(2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",90.999695
"IIQB2","2014-08-02T16:45:38Z","ITA","drifting_longlines","f2ed32211-1288-9a69-cb67-75b71e87a765",27710,"2016-06-26T07:30:26Z",247305860,177109,12480,"","AIS","Fishing","list(2014, 2015, 2016)","public-global-fishing-vessels:v20201001",90.999695
"","2013-07-25T11:19:40Z","ESP","trawlers","6631a4cc9-96b7-d7d8-6805-48fdd9ba4931",0,"2023-11-24T16:13:25Z",224098720,413820,93887,"PENYAL ROIG","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",99.78859
"EB5408","2014-05-19T03:12:16Z","ESP","trawlers","de3ceb0e4-4acb-4f97-bd6e-f1849c977086",0,"2023-11-24T14:29:56Z",224144890,469749,92647,"BALEAR SEGUNDO","AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",99.78859
"","2013-11-19T11:09:19Z","ESP","set_gillnets","a0a4f1863-31e4-fd32-a642-6cafaaae98ac",0,"2014-06-13T08:04:12Z",224214890,22426,3544,"224214890","AIS","Fishing","list(2013, 2014)","public-global-fishing-vessels:v20201001",9.49397
"EA3112","2013-05-10T13:48:31Z","ESP","trawlers","b5d5aac44-4dad-1fd0-a41e-dc2ea79f211d",0,"2023-11-24T15:52:23Z",224040430,231511,42280,"MYRI","AIS","Fishing","list(2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
NA,"2013-06-14T21:55:31Z","ESP","trawlers","6d2ac0df9-9c19-95f0-8871-3677c639f671",NA,"2022-12-22T06:29:58Z",224040430,1129,124,NA,"AIS","Fishing","list(2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",93.01021
"","2016-08-29T02:58:56Z","ESP","trawlers","edc80424e-efba-2f43-84e0-d475740c896e",0,"2018-02-17T21:33:04Z",224040430,48750,8435,"MYRI","AIS","Fishing","list(2016, 2017, 2018)","public-global-fishing-vessels:v20201001",93.01021
"EA 2871","2016-03-09T18:09:37Z","ESP","other_purse_seines","5f3337579-91af-9a68-1709-1044b09d2384",0,"2016-05-12T04:55:44Z",224041480,1152,250,"224041480","AIS","Fishing","list(2016)","public-global-fishing-vessels:v20201001",9.49397
"EA2759","2018-03-21T07:59:46Z","GRC","trawlers","9576e2d9d-ddf2-79e1-2fa1-4d0346ec99e8",0,"2018-06-29T12:23:08Z",24055330,3094,556,"MARISITA SEGUNDA","AIS","Fishing","list(2018)","public-global-fishing-vessels:v20201001",90.999695
"","2018-07-02T05:48:59Z","GRC","trawlers","155f36bac-c5f1-adcc-a66a-ee9ef1d3676d",0,"2020-01-03T14:54:44Z",24055330,9713,1684,"MARISITA SEGUNDA","AIS","Fishing","list(2018, 2019, 2020)","public-global-fishing-vessels:v20201001",90.999695
"E0728","2020-06-08T03:52:57Z","GRC","trawlers","8a41188ff-f824-e86a-2987-287349b3d958",0,"2021-08-16T14:19:53Z",24055330,8864,2638,"MARISITA SEGUNDA","AIS","Fishing","list(2020, 2021)","public-global-fishing-vessels:v20201001",90.999695
"EA2754","2021-08-18T13:53:26Z","GRC","trawlers","7b13e6050-016b-b0a3-9e79-83d01c570fc8",0,"2021-08-27T14:35:44Z",24055330,155,42,"MARISITA SEGUNDA","AIS","Fishing","list(2021)","public-global-fishing-vessels:v20201001",90.999695
"9HB4656","2015-08-28T11:00:22Z","MLT","fishing","02d6bdf35-5f7f-1e89-ce32-dc6fa9c6efd9",0,"2023-06-10T22:18:10Z",215000063,8132668,361332,"SANDOKAN","AIS","Fishing","list(2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"9HB4656","2022-10-15T07:08:19.24Z","MLT","fishing","69abe5f6d-d79e-a6ae-ff8a-74cb1857cda0",NA,"2023-11-26T16:12:00Z",215000063,302824,32688,"SANDOKAN 7033","AIS","Fishing","list(2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"","2014-02-24T13:35:02Z","ITA","fishing","5c645b5a6-6adf-a26d-cf01-b42f6803b0e1",0,"2019-06-02T07:52:34Z",247100520,1578122,82444,"FANTE DI PICCHE","AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019)","public-global-fishing-vessels:v20201001",95.701996
"IFLU","2012-06-25T10:44:15Z","ITA","fishing","eb41a37c2-2e5c-c884-a650-80c7cf831b93",0,"2023-10-11T09:11:18Z",247100520,1036128,140555,"FANTE DI PICCHE","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"","2015-01-20T02:56:45Z","ESP","trawlers","9b09cf916-64bb-dba4-ad24-44b3c0590a8e",0,"2019-02-08T14:40:52Z",224055330,32941,5629,"MARISITA SEGUNDA","AIS","Fishing","list(2015, 2016, 2017, 2018, 2019)","public-global-fishing-vessels:v20201001",93.01021
"EA2759","2013-09-29T13:05:15Z","ESP","trawlers","7eb41aa9b-b722-19d5-b217-9e48854be242",0,"2023-11-24T15:41:28Z",224055330,197850,47668,"MARISITA SEGUNDA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
NA,"2013-09-17T11:28:26Z","ESP","trawlers","a0a8f7cec-c628-0622-8de0-e8a8d318c561",NA,"2023-04-11T06:26:37Z",224055330,271,45,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
NA,"2013-04-10T09:43:08Z","ESP","fishing","ac82b92a3-3d2e-22a5-549b-968d0de9a48c",NA,"2018-01-23T15:23:15Z",224044690,2106,88,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018)","public-global-fishing-vessels:v20201001",93.01021
"EBUN","2013-06-05T19:34:55Z","ESP","fishing","32c0e0f76-6011-cbf6-9ad1-9a2773314571",924452000,"2023-11-24T12:32:18Z",224044690,1668764,189112,"MARUFINA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
"EBUN","2020-12-07T13:53:24Z","ESP","fishing","4921c416c-c3ee-2226-d83d-30bce95f10cf",924452000,"2023-03-13T17:40:37Z",224044690,147742,24881,"MARUFINA","AIS","Fishing","list(2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
"EFPC","2013-12-01T23:26:28Z","ESP","trawlers","f685ed3d6-6e57-f2a7-efb7-0934c6c18f35",0,"2014-10-31T16:45:22Z",224094960,57763,9564,"224094960","AIS","Fishing","list(2013, 2014)","public-global-fishing-vessels:v20201001",9.49397
"EB6993","2014-04-28T04:35:29Z","ESP","trawlers","86e347c4a-a717-149c-8329-3d22d7974a3d",0,"2023-10-25T11:29:22Z",224249780,218077,39722,"MARJUPE SEGUNDO","AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",99.78859
NA,"2013-04-12T11:53:15Z","PRT","fishing","de8f71131-170a-e03f-0cca-226701452322",NA,"2015-09-21T03:30:09Z",204201360,1908,25,NA,"AIS","Fishing","list(2014, 2015)","public-global-fishing-vessels:v20201001",95.701996
"CUTZ5","2013-11-19T09:43:38Z","PRT","fishing","72421bf3c-c2af-dfee-9b6f-b8375bb68c81",9205209,"2023-11-26T04:46:46Z",204201360,2745719,227055,"AGRIAO","AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2012-05-18T05:02:39Z","ESP","fishing","73606460b-b9c2-3d73-78cc-bb8cd002b5de",NA,"2018-08-23T08:34:53Z",224069840,409,74,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017)","public-global-fishing-vessels:v20201001",90.999695
"EBXC","2012-03-02T09:48:08Z","ESP","fishing","b2c464bbe-e226-29ad-c88e-6115d06a92a9",0,"2018-08-04T11:18:17Z",224069840,468473,48288,"STELLA MARIS BERRIA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017)","public-global-fishing-vessels:v20201001",90.999695
"EBXC","2018-08-06T05:49:58Z","ESP","fishing","c9ed16d7f-f2c3-5a8a-6f8d-f48459e1aaab",924885100,"2019-06-16T14:01:37Z",224069840,3079573,67866,"AITA MARI","AIS","Fishing","list(2019)","public-global-fishing-vessels:v20201001",90.999695
"EBXC","2019-06-18T11:45:55Z","ESP","fishing","36666a426-6892-d6f9-30c1-be1bba8515cb",9248851,"2023-11-26T23:57:05Z",224069840,75749767,629450,"AITA MARI","AIS","Fishing","list(2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",90.999695
"IZGR","2013-02-23T08:11:28Z","ITA","fishing","3e2e23203-30ad-e1ab-2774-09a3846440f1",0,"2015-12-11T07:57:12Z",247150050,87439,9475,"LINA CANNARSA MADRE","AIS","Fishing","list(2013, 2014, 2015)","public-global-fishing-vessels:v20201001",93.01021
NA,"2013-04-13T09:54:51Z","ITA","fishing","1e98be280-0bde-f5b8-d487-7a28e6f5d604",NA,"2023-03-30T08:11:32Z",247150050,274,48,NA,"AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
"IZGR","2016-01-26T17:47:22Z","ITA","fishing","8412250e8-8b83-e069-9d1d-1242f13b3453",0,"2023-11-25T00:00:36Z",247150050,5317917,172593,"SALVATORE RUSSO","AIS","Fishing","list(2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
"IZDI","2013-06-16T05:57:43Z","ITA","fishing","6e2a02870-0f84-9b07-3db9-2cdf1c24c077",0,"2013-06-21T17:57:10Z",247140040,526,139,"247140040","AIS","Fishing","list(2013)","public-global-fishing-vessels:v20201001",9.49397
"IVJY","2013-08-31T07:49:10Z","ITA","fishing","c2ca6d737-7c3f-7f5a-c358-36137194fb93",0,"2021-11-12T11:55:26Z",247300940,6090485,171111,"ANNA","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021)","public-global-fishing-vessels:v20201001",93.01021
NA,"2014-12-02T19:08:18Z","ITA","fishing","c871c3290-016e-351f-1f4d-b0031025c40f",NA,"2018-01-25T23:34:38Z",247300940,547,32,NA,"AIS","Fishing","list(2014, 2015, 2016, 2017, 2018)","public-global-fishing-vessels:v20201001",93.01021
"IJPB","2022-04-27T16:04:53Z","ITA","fishing","d814903f9-9c84-e2fa-91f0-8384957dc277",0,"2023-11-22T19:02:10Z",247300940,11945998,198007,"ANNA","AIS","Fishing","list(2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
NA,"2018-10-02T04:48:14Z","ESP","fixed_gear","2b6764f9d-d375-7be8-d950-59e7f75d7902",NA,"2018-10-10T09:02:47Z",225987199,51,11,NA,"AIS","Fishing","list(2018)","public-global-fishing-vessels:v20201001",93.01021
"EAVD","2017-07-04T08:20:41Z","ESP","fixed_gear","65597284d-dc4d-6d24-ab33-bf52ba677108",0,"2021-09-18T10:41:19Z",225987199,183343,25151,"MATXOT","AIS","Fishing","list(2017, 2018, 2019, 2020, 2021)","public-global-fishing-vessels:v20201001",93.01021
"EAVD","2021-09-23T11:00:30Z","ESP","fixed_gear","9c64c0861-1008-43a2-1282-517d6d6d6d20",0,"2023-11-21T09:24:03Z",225987199,818660,148265,"JOSE Y RAFAELA","AIS","Fishing","list(2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
"EA4860","2014-05-19T15:40:48Z","ESP","drifting_longlines","778069479-9da3-7abc-82fb-5766420aafb2",0,"2016-02-18T07:09:38Z",224106220,353042,20072,"HNS FERNANDEZ DIAZ","AIS","Fishing","list(2014, 2015, 2016)","public-global-fishing-vessels:v20201001",86.913086
"EB4860","2016-02-17T02:22:42Z","ESP","drifting_longlines","fefaec132-2b7c-a92f-ed10-98fc08b33397",0,"2017-11-21T20:19:12Z",224106220,983007,39883,"HNS FERNANDEZ DIAZ","AIS","Fishing","list(2016, 2017)","public-global-fishing-vessels:v20201001",86.913086
NA,"2014-04-07T00:08:29Z","ESP","drifting_longlines","e4f1553bd-da6d-1340-fa8c-dd57d200f980",NA,"2023-03-09T11:54:38Z",224106220,13700,3612,NA,"AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",86.913086
"FISH","2017-11-30T12:37:31Z","ESP","drifting_longlines","9ad881d8e-e3dc-fbe6-83d0-bf8f08ae6782",0,"2017-12-09T18:42:55Z",224106220,4236,838,"HMN FERNANDEZ DIAZ","AIS","Fishing","list(2017)","public-global-fishing-vessels:v20201001",86.913086
"EBVP","2018-04-26T17:32:37Z","ESP","drifting_longlines","55d3eda16-66e1-325b-f834-f179fee24f38",0,"2022-07-20T20:21:54Z",224106220,5777241,155834,"HNOS FERNANDEZ DIAZ","AIS","Fishing","list(2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",86.913086
"EB4860","2022-08-16T11:47:11Z","ESP","drifting_longlines","380ebb2bc-c5af-f22e-48ec-9a4e969811e6",0,"2023-11-24T07:58:55Z",224106220,7903827,199490,"HNOSFERNANDEZDIAZ","AIS","Fishing","list(2022, 2023)","public-global-fishing-vessels:v20201001",86.913086
"EB4860","2022-07-18T00:35:19.93Z","ESP","drifting_longlines","09dd1a9a1-1f51-4232-8878-8ad97fb61d7b",0,"2022-08-09T10:16:28Z",224106220,120302,8192,"HERMANOSFERNANDEZDIA","AIS","Fishing","list(2022)","public-global-fishing-vessels:v20201001",86.913086
"","2014-05-19T23:40:43Z","ESP","drifting_longlines","9784adf54-449d-2438-233a-cb57bd29ea52",0,"2023-11-21T09:35:11Z",224241730,2291414,188272,"MORENO TORRES","AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2015-09-12T02:43:03Z","ESP","drifting_longlines","40dd68b7f-fc52-0c6b-79db-a3b732fc19f5",NA,"2023-03-17T08:24:35Z",224241730,132,21,NA,"AIS","Fishing","list(2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
NA,"2019-07-04T11:02:51Z","DEU","fishing","1f0879bc0-0cb3-27f8-7c49-00ad1cca8f74",NA,"2021-06-11T11:55:54Z",211215780,1577,157,NA,"AIS","Fishing","list(2019)","public-global-fishing-vessels:v20201001",95.701996
"DJ5076","2019-04-03T10:09:10Z","DEU","fishing","f546e33a0-0689-ba2a-400e-5a8fd0678a94",NA,"2021-09-06T09:41:04Z",211215780,31703,2441,"ANGABLUU","AIS","Fishing","list(2019)","public-global-fishing-vessels:v20201001",95.701996
NA,"2014-05-06T03:42:53Z","ESP","drifting_longlines","8ce277ff6-68a1-a7fd-4fd7-5ed0f57f4c43",NA,"2021-04-30T10:40:31Z",224122560,455,88,NA,"AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021)","public-global-fishing-vessels:v20201001",95.701996
"EA 3548","2014-05-26T14:09:06Z","ESP","drifting_longlines","271d534a5-5e03-58e9-4f97-357108801fe6",0,"2023-11-26T23:58:00Z",224122560,17774319,489311,"NUEVO MIRANDILLA","AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",95.701996
"","2020-05-09T14:09:51Z","CHN","set_longlines","3a0a43d06-6c8e-82b6-c60e-8497f07542a8",NA,"2020-05-16T19:44:59Z",413524125,1489,182,"52412-15 60%","AIS","Fishing","list(2020)","public-global-fishing-vessels:v20201001",9.49397
NA,"2014-02-01T08:37:35Z","MLT","fishing","87b794df6-6a5c-af22-f848-93cb4c04c2b3",NA,"2022-02-22T21:44:52.96Z",256000058,174,52,NA,"AIS","Fishing","list(2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022)","public-global-fishing-vessels:v20201001",93.01021
"9H7793","2013-04-18T10:55:30Z","MLT","fishing","41e7a820d-dd0a-b550-1bb6-f91225236b0d",0,"2023-05-14T06:20:01Z",256000058,12163001,397261,"MADONNA DI POMPEI","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",93.01021
"9H7793","2023-05-16T07:47:59Z","MLT","fishing","bc6cbea6e-e269-a7a3-e292-c906bfd391c1",8532839,"2023-11-06T09:47:18Z",256000058,607282,74961,"MADONNA DI POMPEI","AIS","Fishing","list(2023)","public-global-fishing-vessels:v20201001",93.01021
"EA2455","2013-09-17T14:06:53Z","ESP","trawlers","15e05f29c-c5ea-5d58-8f7c-972472cc8e25",0,"2023-11-09T15:31:54Z",224095950,270783,57147,"ES REFALAR","AIS","Fishing","list(2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023)","public-global-fishing-vessels:v20201001",99.78859
